,city,high.school,bachelor,unemployment,income,Average Income,population,pop.white,% White,pop.black,% Black,pop.indian,% Indian,pop.asian,% Asian,pop.hawai,% Hawai,pop.other,% Other Racial Groups,pop.multi,% Multi-racial Group,income_per_capita,prop_white,prop_black,total.sale,total.volume,price,Sales Per Person
1,Cedar Falls,95.6,43.4,4.7,22434,0.54947585,40828,37938,92.92152444,939,2.299892231,120,0.29391594,1192,2.919565004,45,0.110218478,158,0.386989321,436,1.067894582,0.54947585,92.92152444,2.299892231,4943947,339266,14.57248,121.0920692
2,Gowrie,91.1,21.6,8.2,30643,29.26743075,1047,977,93.31423114,3,0.286532951,0,0,6,0.573065903,0,0,0,0,61,5.82617001,29.26743075,93.31423114,0.286532951,86254,6546,13.17659639,82.38204394
3,Waterloo,87.5,22,8.3,29201,0.427183756,68357,52104,76.22335679,10744,15.71748321,270,0.394985151,1346,1.969074126,254,0.371578624,1670,2.443056307,1969,2.88046579,0.427183756,76.22335679,15.71748321,9631196,627241,15.35485722,140.8955337
4,West Union,92.5,26,6.2,26134,10.08256173,2592,2413,93.0941358,116,4.475308642,20,0.771604938,37,1.427469136,0,0,0,0,6,0.231481481,10.08256173,93.0941358,4.475308642,267066,22291,11.98088915,103.0347222
5,Rockwell,92.5,11.8,3.1,33281,30.25545455,1100,1062,96.54545455,32,2.909090909,0,0,0,0,0,0,0,0,6,0.545454545,30.25545455,96.54545455,2.909090909,91209,7519,12.13046948,82.91727273
6,Fort Atkinson,87.7,13.3,4.3,32031,123.6718147,259,252,97.2972973,0,0,0,0,0,0,0,0,0,0,7,2.702702703,123.6718147,97.2972973,0,87999,7136,12.33169843,339.7644788
7,Waukon,85.1,17.6,5.9,25617,6.766244057,3786,3670,96.9360803,0,0,0,0,0,0,0,0,20,0.528262018,96,2.535657686,6.766244057,96.9360803,0,642261,49512,12.97182501,169.641046
8,Des Moines,87.2,25.2,7.1,28776,0.135188082,212859,164184,77.13274985,23469,11.0256085,993,0.466505997,11722,5.506931819,183,0.085972404,5109,2.400180401,7199,3.382051029,0.135188082,77.13274985,11.0256085,38071367,2390490,15.92617706,178.8572106
9,Keokuk,89.4,15.1,10.3,24935,2.346161084,10628,9333,87.81520512,528,4.968009033,43,0.404591645,82,0.771546857,0,0,122,1.147911178,520,4.892736169,2.346161084,87.81520512,4.968009033,1981922,135475,14.62942978,186.4811818
10,Sac City,92.7,18.9,5.4,26389,12.07734554,2185,2111,96.61327231,6,0.274599542,0,0,0,0,0,0,2,0.091533181,66,3.020594966,12.07734554,96.61327231,0.274599542,305805,25410,12.03482881,139.9565217
11,Clarinda,88.8,23.5,5.2,25348,4.667280427,5431,4978,91.65899466,306,5.634321488,19,0.349843491,29,0.533971644,0,0,34,0.626035721,65,1.196832996,4.667280427,91.65899466,5.634321488,401558,28210,14.23459766,73.93813294
12,Winterset,91.5,16.3,7.6,31022,6.014346646,5158,4979,96.52966266,1,0.019387359,0,0,146,2.830554478,0,0,26,0.504071345,6,0.116324157,6.014346646,96.52966266,0.019387359,576401,43114,13.36923041,111.7489337
13,Spirit Lake,95.5,29.2,2.9,31108,6.231570513,4992,4831,96.77483974,14,0.280448718,16,0.320512821,22,0.440705128,0,0,12,0.240384615,97,1.943108974,6.231570513,96.77483974,0.280448718,2139653,160604,13.32253867,428.6163862
14,Altoona,94.5,31.2,4.7,40522,2.427630002,16692,16026,96.0100647,122,0.730889049,13,0.07788162,189,1.132278936,0,0,7,0.041936257,335,2.006949437,2.427630002,96.0100647,0.730889049,2212755,152679,14.49285756,132.563803
